NORMALISATION DICTIONARY AUDIT
Total entries : 349
Mapped words  : 340
Noise (dropped): 9
========================================================================
  Original (Roman)       Normalised (Devanagari)      Domains
------------------------------------------------------------------------
  aakhn                  आँख                          body-parts
  aalu                   आलू                          foods
  aanhkein               आँख                          body-parts
  aankh                  आँख                          body-parts
  aata                   आटा                          foods
  abdomen                पेट                          body-parts
  aloo                   आलू                          foods
  anaar                  अनार                         foods
  anaconda               एनाकोंडा                     animals
  ande                   अंडे                         foods
  ant                    चींटी                        animals
  anteater               चींटीखोर                     animals
  apple                  सेब                          foods
  arhar                  अरहर                         foods
  atta                   आटा                          foods
  azure                  आसमानी                       colours
  baag                   बाघ                          animals
  baagh                  बाघ                          animals
  baahu                  बाहु                         body-parts
  baal                   बाल                          body-parts
  baby corn              मक्का                        foods
  bagh                   बाघ                          animals
  baigan                 बैंगन                        foods
  bail                   बैल                          animals
  baingan                बैंगन                        foods
  bakra                  बकरा                         animals
  bakri                  बकरी                         animals
  banana                 केला                         foods
  bandar                 बंदर                         animals
  batak                  बत्तख                        animals
  bataka                 आलू                          foods
  bear                   भालू                         animals
  beef (buffalo)         गोमांस                       foods
  bhaaloo                भालू                         animals
  bhaalu                 भालू                         animals
  bhagwa                 भगवा                         colours
  bhais                  भैंस                         animals
  bhallu                 भालू                         animals
  bhalu                  भालू                         animals
  bhed                   भेड़                         animals
  bhediya                भेड़िया                      animals
  bhes                   भैंस                         animals
  bhindi                 भिंडी                        foods
  bhoora                 भूरा                         colours
  bhukh                  DROPPED (noise word)         foods
  bhuura                 भूरा                         colours
  bicep                  डोले                         body-parts
  biege                  मटमैला                       colours
  billi                  बिल्ली                       animals
  billi'                 बिल्ली                       animals
  black                  काला                         colours
  blue                   नीला                         colours
  bread                  ब्रेड                        foods
  brinjal                बैंगन                        foods
  brown                  भूरा                         colours
  buffalo                भैंस                         animals
  buffaloe               भैंस                         animals
  bufflow                भैंस                         animals
  burger                 बर्गर                        foods
  cabbage                पत्तागोभी                    foods
  cake                   केक                          foods
  calf                   पिंडली                       body-parts
  camel                  ऊँट                          animals
  carrot                 गाजर                         foods
  cat                    बिल्ली                       animals
  cauliflower            फूलगोभी                      foods
  chaat                  चाट                          foods
  chaati                 छाती                         body-parts
  chakli                 चकली                         foods
  chamdi                 चमड़ी                        body-parts
  chana                  चना                          foods
  chapati                चपाती                        foods
  chatpata               DROPPED (noise word)         foods
  chaval                 चावल                         foods
  chawal                 चावल                         foods
  cheenti                चींटी                        animals
  cheeta                 चीता                         animals
  cheetah                चीता                         animals
  chest                  छाती                         body-parts
  chicken                मुर्गा                       animals, foods
  chin                   ठुड्डी                       body-parts
  chips                  चिप्स                        foods
  chocolate              चॉकलेट                       foods
  chole                  छोले                         foods
  chole bhautre          छोले                         foods
  chuha                  चूहा                         animals
  chuuha                 चूहा                         animals
  coe                    गाय                          animals
  coffe                  कॉफ़ी                        foods
  cold drinks            शीतल पेय                     foods
  corn                   मक्का                        foods
  cow                    गाय                          animals
  crcocdile              मगरमच्छ                      animals
  cream                  क्रीम                        colours
  crispy veg             सब्ज़ी                       foods
  crow                   कौआ                          animals
  cucumber               खीरा                         foods
  curd                   दही                          foods
  cyan                   सियान                        colours
  daal                   दाल                          foods
  daant                  दाँत                         body-parts
  daat                   दाँत                         body-parts
  dahi                   दही                          foods
  dairy                  DROPPED (noise word)         foods
  dal                    दाल                          foods
  dawaaiya               DROPPED (noise word)         foods
  deer                   हिरण                         animals
  dhudh                  दूध                          foods
  dil                    दिल                          body-parts
  dimag                  दिमाग                        body-parts
  dog                    कुत्ता                       animals
  dolhin                 डॉल्फिन                      animals
  dolphin                डॉल्फिन                      animals
  donkey                 गधा                          animals
  doodh                  दूध                          foods
  dooth                  दूध                          foods
  dosa                   डोसा                         foods
  duck                   बत्तख                        animals
  eagle                  बाज़                         animals
  elephant               हाथी                         animals
  embow                  कोहनी                        body-parts
  fal                    फल                           foods
  fefde                  फेफड़े                       body-parts
  ferozi                 फ़िरोज़ी                     colours
  fox                    लोमड़ी                       animals
  fried rice             चावल                         foods
  fruits                 फल                           foods
  gaai                   गाय                          animals
  gaal                   गाल                          body-parts
  gaay                   गाय                          animals
  gadha                  गधा                          animals
  gajar                  गाजर                         foods
  gala                   गला                          body-parts
  gardan                 गर्दन                        body-parts
  garlic bread           ब्रेड                        foods
  gayan                  गयाल                         animals
  geedad                 गीदड़                        animals
  gehun                  गेहूँ                        foods
  gerua                  गेरुआ                        colours
  ghee                   घी                           foods
  ghoda                  घोड़ा                        animals
  ghutna                 घुटना                        body-parts
  giraffe                जिराफ                        animals
  girrafe                जिराफ                        animals
  goat                   बकरी                         animals
  gobi                   गोभी                         foods
  golden                 सुनहरा                       colours
  gorilla                गोरिल्ला                     animals
  grapes                 अंगूर                        foods
  gray                   धूसर                         colours
  green                  हरा                          colours
  grey                   धूसर                         colours
  gulaabi                गुलाबी                       colours
  gulabi                 गुलाबी                       colours
  gurde                  गुर्दे                       body-parts
  haath                  हाथ                          body-parts
  haathi                 हाथी                         animals
  hadiyan                हड्डियाँ                     body-parts
  halwa                  हलवा                         foods
  hands                  हाथ                          body-parts
  hara                   हरा                          colours
  hath                   हाथ                          body-parts
  hathi                  हाथी                         animals
  head                   सिर                          body-parts
  hen                    मुर्गी                       animals
  hera                   हरा                          colours
  hiran                  हिरण                         animals
  horse                  घोड़ा                        animals
